"GENNO","SPNO","GrowthForm","Frequency"
3835,160,"Dwarf shrub","commonly"
3455,77,"Dwarf shrub","commonly"
3835,107,"Succulent","commonly"
3835,107,"Dwarf shrub","commonly"
3900,15,"Dwarf shrub","commonly"
3455,156,"Shrub","commonly"
3897,6,"Shrub","commonly"
3455,90,"Shrub","commonly"
3455,141,"Shrub","commonly"
3455,174,"Shrub","commonly"
3455,99,"Shrub","commonly"
3835,193,"Herb","commonly"
3835,193,"Succulent","commonly"
3195,62,"Suffrutex","commonly"
2680,53,"Succulent","commonly"
2585,2,"Herb","commonly"
2585,9,"Herb","commonly"
2585,10,"Herb","commonly"
2680,54,"Succulent","commonly"
3831,17,"Succulent","commonly"
3831,17,"Dwarf shrub","commonly"
3831,16,"Succulent","commonly"
3831,16,"Dwarf shrub","commonly"
3672,4,"Shrub","commonly"
3672,4,"Tree","occasionally"
3554,6,"Herb","commonly"
3834,44,"Succulent","commonly"
3834,44,"Shrub","commonly"
2829,63,"Herb","commonly"
2829,63,"Geophyte","commonly"
3834,48,"Succulent","commonly"
3834,48,"Shrub","commonly"
2836,16,"Geophyte","commonly"
2836,16,"Herb","commonly"
2836,9,"Geophyte","commonly"
2836,9,"Herb","commonly"
3834,50,"Succulent","commonly"
3834,50,"Shrub","commonly"
3834,43,"Succulent","commonly"
3834,43,"Shrub","commonly"
2831,6,"Geophyte","commonly"
2831,6,"Herb","commonly"
3834,45,"Succulent","commonly"
3834,45,"Shrub","commonly"
3834,49,"Succulent","commonly"
3834,49,"Shrub","commonly"
3958,6,"Herb","commonly"
2845,1,"Herb","commonly"
2838,20,"Geophyte","commonly"
2838,20,"Herb","commonly"
2759,92,"Geophyte","commonly"
2759,92,"Herb","commonly"
2759,37,"Geophyte","commonly"
2759,37,"Herb","commonly"
138,48,"Succulent","commonly"
3048,169,"Shrub","commonly"
3048,170,"Shrub","commonly"
3998,33,"Geophyte","commonly"
2759,251,"Geophyte","commonly"
2759,251,"Herb","commonly"
3998,32,"Geophyte","commonly"
3998,34,"Geophyte","commonly"
2759,258,"Herb","commonly"
2759,258,"Geophyte","commonly"
3998,41,"Geophyte","commonly"
2825,32,"Geophyte","commonly"
2825,32,"Herb","commonly"
3998,40,"Geophyte","commonly"
2759,267,"Geophyte","commonly"
2759,267,"Herb","commonly"
3998,39,"Geophyte","commonly"
3998,38,"Geophyte","commonly"
3998,37,"Geophyte","commonly"
3998,36,"Geophyte","commonly"
3998,35,"Geophyte","commonly"
2836,153,"Geophyte","commonly"
2836,153,"Herb","commonly"
5218,0,"Herb","commonly"
3048,178,"Shrub","commonly"
3048,182,"Shrub","commonly"
1074,91,"Dwarf shrub","commonly"
3048,177,"Shrub","commonly"
3048,179,"Shrub","commonly"
3048,176,"Shrub","commonly"
3048,175,"Shrub","commonly"
2671,45,"Succulent","commonly"
1074,93,"Dwarf shrub","commonly"
3448,191,"Shrub","commonly"
3448,190,"Shrub","commonly"
1031,103,"Dwarf shrub","commonly"
1031,121,"Suffrutex","commonly"
14885,0,"Lichen","commonly"
5522,161,"Shrub","commonly"
391,13,"Herb","commonly"
389,86,"Shrub","commonly"
389,86,"Tree","commonly"
389,103,"Tree","commonly"
389,47,"Tree","commonly"
388,19,"Tree","commonly"
388,19,"Shrub","commonly"
388,18,"Shrub","commonly"
451,12,"Herb","commonly"
451,11,"Herb","commonly"
451,25,"Herb","commonly"
451,13,"Herb","commonly"
451,14,"Herb","commonly"
451,51,"Herb","commonly"
451,50,"Herb","commonly"
451,49,"Herb","commonly"
451,43,"Herb","commonly"
451,36,"Herb","commonly"
451,29,"Herb","commonly"
451,61,"Herb","commonly"
451,57,"Herb","commonly"
431,8,"Shrub","commonly"
811,13,"Herb","occasionally"
811,13,"Dwarf shrub","commonly"
799,97,"Shrub","commonly"
795,70,"Shrub","commonly"
306,11,"Shrub","commonly"
306,11,"Tree","commonly"
306,10,"Shrub","commonly"
306,10,"Tree","commonly"
43,0,"Bryophyte","commonly"
138,49,"Succulent","commonly"
85,0,"Succulent","commonly"
349,121,"Shrub","commonly"
327,104,"Shrub","commonly"
3540,3,"Herb","commonly"
3540,3,"Geophyte","commonly"
3540,3,"Lithophyte","commonly"
3540,1,"Geophyte","commonly"
3540,1,"Herb","commonly"
3540,1,"Lithophyte","commonly"
3701,17,"Geophyte","commonly"
3701,17,"Lithophyte","commonly"
3701,17,"Herb","commonly"
2273,25,"Lichen","always"
2296,26,"Lichen","always"
2427,17,"Lichen","commonly"
2346,1,"Lichen","always"
2297,6,"Lichen","always"
2428,25,"Lichen","commonly"
2314,12,"Lichen","commonly"
2361,65,"Lichen","commonly"
2450,1,"Lichen","commonly"
2346,4,"Lichen","commonly"
2346,2,"Lichen","commonly"
2296,3,"Lichen","always"
2401,8,"Lichen","commonly"
2465,277,"Lichen","commonly"
2427,7,"Lichen","always"
2309,8,"Lichen","always"
2428,4,"Lichen","commonly"
2348,15,"Lichen","commonly"
2309,20,"Lichen","commonly"
2309,18,"Lichen","commonly"
2427,5,"Lichen","always"
2427,6,"Lichen","always"
1984,4,"Dwarf shrub","commonly"
2140,27,"Herb","commonly"
1989,26,"Herb","commonly"
2140,21,"Herb","commonly"
2140,14,"Herb","commonly"
2140,13,"Herb","commonly"
2159,10,"Herb","commonly"
2140,10,"Herb","commonly"
1983,14,"Herb","commonly"
1983,6,"Dwarf shrub","commonly"
1993,36,"Dwarf shrub","commonly"
1991,43,"Herb","commonly"
1989,39,"Herb","commonly"
1993,33,"Herb","commonly"
2140,42,"Herb","commonly"
2003,2,"Herb","commonly"
1993,28,"Dwarf shrub","commonly"
2140,47,"Herb","commonly"
1989,11,"Dwarf shrub","commonly"
1991,11,"Dwarf shrub","commonly"
2140,43,"Herb","commonly"
2140,45,"Herb","commonly"
1989,21,"Dwarf shrub","commonly"
2140,46,"Herb","commonly"
1991,14,"Dwarf shrub","commonly"
2140,31,"Herb","commonly"
2140,31,"Climber","commonly"
2006,8,"Herb","commonly"
2140,33,"Herb","commonly"
2140,48,"Herb","commonly"
2140,41,"Herb","commonly"
1989,4,"Herb","commonly"
2003,9,"Herb","commonly"
1989,1,"Herb","commonly"
1983,13,"Herb","commonly"
2140,5,"Herb","commonly"
1991,22,"Dwarf shrub","commonly"
2007,3,"Herb","commonly"
1993,5,"Dwarf shrub","commonly"
1852,147,"Dwarf shrub","commonly"
1990,14,"Dwarf shrub","commonly"
1993,14,"Herb","commonly"
2132,28,"Herb","commonly"
1991,39,"Dwarf shrub","commonly"
1993,2,"Herb","commonly"
1852,195,"Dwarf shrub","commonly"
1991,1,"Herb","commonly"
1983,17,"Dwarf shrub","commonly"
2568,4,"Shrub","occasionally"
2568,4,"Tree","commonly"
3634,34,"Herb","commonly"
3634,44,"Herb","commonly"
908,21,"Herb","commonly"
908,21,"Dwarf shrub","commonly"
908,28,"Herb","commonly"
908,28,"Dwarf shrub","commonly"
905,10,"Herb","commonly"
905,10,"Dwarf shrub","commonly"
905,13,"Dwarf shrub","commonly"
905,13,"Herb","commonly"
905,19,"Dwarf shrub","commonly"
905,19,"Herb","commonly"
905,21,"Dwarf shrub","commonly"
905,21,"Herb","commonly"
905,9,"Herb","commonly"
905,9,"Dwarf shrub","commonly"
905,12,"Herb","commonly"
905,12,"Dwarf shrub","commonly"
401,6,"Tree","commonly"
905,24,"Dwarf shrub","commonly"
905,24,"Herb","commonly"
905,23,"Dwarf shrub","commonly"
905,23,"Herb","commonly"
905,29,"Dwarf shrub","commonly"
905,29,"Herb","commonly"
905,31,"Dwarf shrub","commonly"
905,31,"Herb","commonly"
905,36,"Dwarf shrub","commonly"
905,36,"Herb","commonly"
905,39,"Shrub","commonly"
905,39,"Dwarf shrub","commonly"
905,14,"Dwarf shrub","commonly"
905,14,"Herb","commonly"
3589,7,"Succulent","commonly"
3589,7,"Dwarf shrub","commonly"
3590,73,"Shrub","commonly"
3589,8,"Succulent","commonly"
3589,8,"Dwarf shrub","commonly"
3590,32,"Shrub","commonly"
3592,8,"Herb","commonly"
3590,20,"Shrub","commonly"
3592,40,"Herb","commonly"
3590,96,"Dwarf shrub","commonly"
3593,6,"Dwarf shrub","commonly"
3589,5,"Herb","commonly"
3589,5,"Succulent","commonly"
3590,81,"Shrub","commonly"
3589,1,"Dwarf shrub","commonly"
3590,6,"Shrub","commonly"
2273,18,"Lichen","always"
2273,16,"Lichen","always"
2273,51,"Lichen","commonly"
1547,47,"Herb","commonly"
1547,47,"Geophyte","commonly"
1685,18,"Shrub","commonly"
1547,46,"Herb","commonly"
1547,46,"Geophyte","commonly"
2199,5,"Herb","commonly"
1852,163,"Shrub","commonly"
1852,163,"Dwarf shrub","occasionally"
1852,98,"Shrub","commonly"
1852,98,"Dwarf shrub","occasionally"
1683,71,"Shrub","commonly"
1989,10,"Herb","commonly"
1549,32,"Geophyte","commonly"
1549,32,"Herb","commonly"
3475,5,"Tree","commonly"
3450,2,"Herb","commonly"
4057,153,"Dwarf shrub","commonly"
3152,85,"Shrub","commonly"
3152,85,"Dwarf shrub","commonly"
3222,105,"Shrub","commonly"
3152,140,"Herb","commonly"
3152,141,"Herb","commonly"
3152,142,"Herb","commonly"
3152,143,"Herb","commonly"
3455,35,"Shrub","commonly"
4057,152,"Shrub","commonly"
4057,152,"Dwarf shrub","commonly"
3814,23,"Geophyte","commonly"
4057,154,"Shrub","commonly"
3862,1,"Herb","commonly"
3567,4,"Shrub","commonly"
3408,26,"Succulent","commonly"
3408,26,"Dwarf shrub","commonly"
3193,114,"Suffrutex","commonly"
3193,114,"Shrub","commonly"
3193,113,"Suffrutex","commonly"
3193,113,"Shrub","commonly"
3796,54,"Geophyte","commonly"
3152,230,"Shrub","commonly"
3952,20,"Herb","commonly"
3952,15,"Herb","commonly"
3814,77,"Geophyte","commonly"
3222,104,"Shrub","commonly"
3958,1,"Herb","commonly"
574,899,"Succulent","commonly"
574,899,"Dwarf shrub","commonly"
574,900,"Succulent","commonly"
574,900,"Dwarf shrub","commonly"
574,901,"Succulent","commonly"
574,901,"Shrub","commonly"
349,93,"Herb","commonly"
574,725,"Herb","commonly"
357,21,"Herb","commonly"
357,21,"Climber","commonly"
357,21,"Shrub","commonly"
574,240,"Succulent","commonly"
574,240,"Dwarf shrub","commonly"
705,1,"Herb","commonly"
705,1,"Hyperhydate","commonly"
705,1,"Hydrophyte","commonly"
705,1,"Epihydate","commonly"
357,70,"Dwarf shrub","commonly"
364,84,"Shrub","commonly"
2206,154,"Herb","commonly"
2206,154,"Succulent","commonly"
1276,23,"Graminoid","commonly"
2853,182,"Shrub","commonly"
2853,182,"Dwarf shrub","commonly"
2607,7,"Herb","commonly"
2607,7,"Hydrophyte","commonly"
3089,25,"Herb","commonly"
3839,7,"Geophyte","commonly"
3839,7,"Herb","commonly"
1262,57,"Graminoid","commonly"
1284,20,"Graminoid","commonly"
1284,15,"Graminoid","commonly"
1262,13,"Graminoid","commonly"
3909,38,"Herb","commonly"
3909,38,"Shrub","commonly"
3909,38,"Dwarf shrub","commonly"
3885,8,"Herb","commonly"
3919,20,"Shrub","commonly"
3919,20,"Dwarf shrub","commonly"
2572,2,"Tree","commonly"
3907,32,"Herb","commonly"
3909,19,"Shrub","commonly"
3909,19,"Dwarf shrub","commonly"
3907,37,"Herb","commonly"
3909,59,"Shrub","commonly"
3909,59,"Dwarf shrub","commonly"
3910,7,"Herb","commonly"
1294,6,"Graminoid","commonly"
1820,502,"Dwarf shrub","commonly"
1820,136,"Shrub","commonly"
1820,108,"Dwarf shrub","commonly"
1820,499,"Dwarf shrub","commonly"
1549,1,"Geophyte","commonly"
1549,1,"Herb","commonly"
1820,210,"Dwarf shrub","commonly"
1547,12,"Herb","commonly"
1547,12,"Geophyte","commonly"
1820,46,"Dwarf shrub","commonly"
1820,46,"Shrub","commonly"
1820,426,"Dwarf shrub","commonly"
1820,383,"Shrub","commonly"
1820,860,"Dwarf shrub","commonly"
1556,117,"Herb","commonly"
1556,117,"Geophyte","commonly"
1820,200,"Shrub","commonly"
1820,200,"Dwarf shrub","commonly"
1820,801,"Shrub","commonly"
1820,382,"Dwarf shrub","commonly"
1820,382,"Shrub","commonly"
1549,126,"Geophyte","commonly"
1549,126,"Herb","commonly"
1820,491,"Shrub","commonly"
1820,51,"Dwarf shrub","commonly"
1820,821,"Dwarf shrub","commonly"
1820,182,"Shrub","commonly"
1820,90,"Shrub","commonly"
1820,80,"Shrub","commonly"
1549,460,"Geophyte","occasionally"
1549,460,"Herb","commonly"
1671,6,"Herb","commonly"
1671,6,"Shrub","commonly"
1820,452,"Shrub","commonly"
1820,786,"Dwarf shrub","commonly"
1820,337,"Shrub","commonly"
1820,494,"Shrub","commonly"
1820,1302,"Shrub","commonly"
1820,280,"Shrub","commonly"
1820,187,"Dwarf shrub","commonly"
1820,201,"Dwarf shrub","commonly"
1820,201,"Shrub","commonly"
1820,53,"Dwarf shrub","commonly"
1820,787,"Shrub","commonly"
1820,279,"Shrub","commonly"
1820,861,"Dwarf shrub","commonly"
1820,861,"Shrub","commonly"
1820,807,"Dwarf shrub","commonly"
1820,75,"Dwarf shrub","commonly"
1820,812,"Dwarf shrub","commonly"
1820,467,"Dwarf shrub","commonly"
1820,345,"Shrub","commonly"
1855,91,"Geophyte","commonly"
1820,827,"Shrub","commonly"
1820,785,"Dwarf shrub","commonly"
1820,944,"Dwarf shrub","commonly"
1820,587,"Shrub","commonly"
1820,594,"Dwarf shrub","commonly"
1820,742,"Dwarf shrub","commonly"
1820,10,"Shrub","commonly"
1820,9,"Dwarf shrub","commonly"
1820,731,"Shrub","commonly"
1820,586,"Dwarf shrub","commonly"
1852,185,"Herb","commonly"
1820,52,"Dwarf shrub","commonly"
1820,630,"Shrub","commonly"
1820,938,"Shrub","commonly"
1820,672,"Shrub","commonly"
1820,681,"Shrub","commonly"
1820,945,"Shrub","commonly"
1556,179,"Geophyte","occasionally"
1556,179,"Herb","commonly"
2853,78,"Climber","commonly"
3814,91,"Geophyte","commonly"
2930,44,"Shrub","commonly"
2930,44,"Dwarf shrub","commonly"
1820,1409,"Dwarf shrub","commonly"
1820,1263,"Shrub","commonly"
1820,1408,"Dwarf shrub","commonly"
1820,1430,"Shrub","commonly"
1820,1334,"Shrub","commonly"
1820,1429,"Shrub","commonly"
1820,1429,"Dwarf shrub","commonly"
1820,1304,"Shrub","commonly"
1820,1468,"Shrub","commonly"
799,77,"Shrub","commonly"
799,55,"Shrub","commonly"
799,17,"Dwarf shrub","commonly"
364,207,"Shrub","commonly"
799,20,"Shrub","commonly"
1958,1,"Bryophyte","commonly"
782,1,"Epiphyte","occasionally"
782,1,"Bryophyte","commonly"
3734,11,"Herb","commonly"
3734,11,"Geophyte","commonly"
3734,11,"Lithophyte","commonly"
574,862,"Succulent","commonly"
574,862,"Shrub","commonly"
1855,75,"Geophyte","commonly"
1855,160,"Geophyte","commonly"
1855,29,"Geophyte","commonly"
1855,142,"Geophyte","commonly"
2215,86,"Succulent","commonly"
3795,25,"Geophyte","commonly"
3949,1,"Herb","commonly"
2132,38,"Herb","commonly"
2441,53,"Lichen","commonly"
2328,49,"Lichen","commonly"
2505,42,"Herb","commonly"
2505,42,"Cyperoid","commonly"
2505,42,"Mesophyte","commonly"
2456,2,"Lichen","always"
2456,3,"Lichen","commonly"
1234,2,"Graminoid","commonly"
3397,19,"Herb","commonly"
3592,18,"Herb","commonly"
1905,3,"Tree","commonly"
483,10,"Herb","commonly"
2349,18,"Lichen","commonly"
2310,61,"Lichen","commonly"
3448,37,"Shrub","commonly"
3198,23,"Herb","commonly"
3198,23,"Succulent","commonly"
926,2,"Herb","commonly"
2190,1,"Climber","commonly"
2190,1,"Shrub","commonly"
2190,1,"Tree","commonly"
1930,3,"Herb","commonly"
1930,3,"Climber","commonly"
4055,9,"Shrub","occasionally"
4055,9,"Tree","commonly"
2585,90,"Herb","commonly"
2719,2,"Shrub","commonly"
4036,5,"Tree","commonly"
4036,5,"Shrub","commonly"
940,3,"Geophyte","commonly"
940,3,"Climber","commonly"
940,3,"Shrub","commonly"
614,3,"Tree","commonly"
583,1,"Herb","commonly"
582,24,"Shrub","commonly"
582,24,"Tree","commonly"
582,11,"Herb","commonly"
940,1,"Climber","commonly"
940,1,"Shrub","commonly"
582,5,"Herb","commonly"
582,5,"Dwarf shrub","commonly"
2037,4,"Tree","commonly"
1848,17,"Dwarf shrub","commonly"
1852,56,"Dwarf shrub","commonly"
1852,73,"Herb","commonly"
2585,212,"Herb","commonly"
2585,187,"Climber","commonly"
2585,187,"Shrub","commonly"
2585,187,"Herb","commonly"
2585,184,"Herb","commonly"
2585,91,"Shrub","commonly"
2585,147,"Shrub","commonly"
3614,156,"Shrub","commonly"
3614,156,"Tree","occasionally"
2585,69,"Herb","commonly"
2595,31,"Herb","occasionally"
2595,31,"Shrub","commonly"
2585,245,"Shrub","commonly"
2585,227,"Shrub","commonly"
2585,227,"Herb","commonly"
398,17,"Herb","commonly"
398,115,"Shrub","commonly"
398,115,"Dwarf shrub","commonly"
398,115,"Herb","commonly"
398,114,"Dwarf shrub","commonly"
398,114,"Shrub","commonly"
398,18,"Herb","commonly"
370,83,"Climber","commonly"
370,83,"Herb","commonly"
370,79,"Shrub","commonly"
370,69,"Herb","commonly"
370,38,"Shrub","commonly"
370,28,"Climber","commonly"
370,28,"Herb","commonly"
269,7,"Herb","commonly"
269,7,"Dwarf shrub","commonly"
451,4,"Herb","commonly"
451,4,"Dwarf shrub","commonly"
269,51,"Dwarf shrub","commonly"
278,28,"Tree","commonly"
450,194,"Herb","commonly"
349,39,"Herb","commonly"
349,39,"Shrub","commonly"
349,110,"Herb","commonly"
349,96,"Herb","commonly"
349,83,"Shrub","commonly"
357,143,"Shrub","commonly"
349,112,"Herb","commonly"
349,113,"Herb","commonly"
349,36,"Herb","commonly"
349,42,"Herb","commonly"
349,42,"Dwarf shrub","commonly"
357,7,"Creeper","commonly"
357,7,"Shrub","commonly"
357,7,"Dwarf shrub","commonly"
357,7,"Herb","commonly"
357,425,"Herb","commonly"
357,353,"Shrub","commonly"
357,349,"Shrub","commonly"
357,331,"Herb","commonly"
357,319,"Dwarf shrub","commonly"
357,244,"Herb","commonly"
357,258,"Shrub","commonly"
1820,743,"Dwarf shrub","commonly"
1820,463,"Dwarf shrub","commonly"
1820,632,"Dwarf shrub","commonly"
1820,943,"Shrub","commonly"
1820,401,"Dwarf shrub","commonly"
1820,476,"Dwarf shrub","commonly"
1820,479,"Shrub","commonly"
1820,706,"Shrub","commonly"
1820,366,"Dwarf shrub","commonly"
1820,471,"Shrub","commonly"
1820,457,"Shrub","commonly"
1820,902,"Dwarf shrub","commonly"
1820,633,"Dwarf shrub","commonly"
1820,168,"Dwarf shrub","commonly"
1820,914,"Dwarf shrub","commonly"
1820,808,"Dwarf shrub","commonly"
1820,913,"Shrub","commonly"
1820,402,"Shrub","commonly"
1820,422,"Dwarf shrub","commonly"
1820,423,"Dwarf shrub","commonly"
1820,674,"Dwarf shrub","commonly"
1820,523,"Dwarf shrub","commonly"
1820,209,"Dwarf shrub","commonly"
1820,480,"Shrub","commonly"
1820,455,"Shrub","commonly"
1820,948,"Dwarf shrub","commonly"
1820,623,"Shrub","commonly"
1820,878,"Shrub","commonly"
1820,522,"Shrub","commonly"
1820,772,"Dwarf shrub","commonly"
1820,34,"Dwarf shrub","commonly"
1820,492,"Dwarf shrub","commonly"
1820,737,"Dwarf shrub","commonly"
2087,16,"Geophyte","commonly"
2087,19,"Geophyte","commonly"
1788,5,"Tree","commonly"
1788,5,"Shrub","commonly"
1855,164,"Geophyte","commonly"
1855,163,"Geophyte","commonly"
1855,177,"Geophyte","commonly"
2073,2,"Geophyte","commonly"
1855,62,"Geophyte","commonly"
1855,59,"Geophyte","commonly"
2206,64,"Succulent","commonly"
2206,64,"Herb","commonly"
1777,31,"Geophyte","commonly"
1777,31,"Climber","commonly"
1855,33,"Geophyte","commonly"
2074,11,"Geophyte","commonly"
1855,58,"Geophyte","commonly"
1855,46,"Geophyte","commonly"
2206,67,"Succulent","commonly"
2206,67,"Shrub","commonly"
2206,67,"Dwarf shrub","commonly"
2084,5,"Geophyte","commonly"
1855,28,"Geophyte","commonly"
2087,9,"Geophyte","commonly"
1855,5,"Geophyte","commonly"
2088,62,"Geophyte","commonly"
2088,61,"Geophyte","commonly"
2206,9,"Succulent","commonly"
2206,9,"Herb","commonly"
2088,60,"Geophyte","commonly"
2088,23,"Geophyte","commonly"
2088,56,"Geophyte","commonly"
2088,55,"Geophyte","commonly"
2206,63,"Succulent","commonly"
2206,63,"Herb","commonly"
2088,40,"Geophyte","commonly"
2085,27,"Geophyte","commonly"
2087,1,"Geophyte","commonly"
2088,36,"Geophyte","commonly"
2073,3,"Geophyte","commonly"
1855,204,"Geophyte","commonly"
1855,179,"Geophyte","commonly"
1788,4,"Shrub","commonly"
1788,4,"Tree","occasionally"
2073,8,"Geophyte","commonly"
2078,24,"Geophyte","commonly"
2206,92,"Succulent","commonly"
2206,92,"Dwarf shrub","commonly"
2088,27,"Geophyte","commonly"
2078,10,"Geophyte","commonly"
1855,146,"Geophyte","commonly"
2078,3,"Geophyte","commonly"
2084,7,"Geophyte","commonly"
2088,21,"Geophyte","commonly"
2088,6,"Geophyte","commonly"
1576,36,"Geophyte","commonly"
1603,17,"Geophyte","commonly"
1556,111,"Herb","commonly"
1556,111,"Geophyte","commonly"
1556,114,"Herb","commonly"
1556,114,"Geophyte","commonly"
1556,198,"Geophyte","occasionally"
1556,198,"Herb","commonly"
1576,5,"Geophyte","commonly"
1576,5,"Herb","commonly"
1576,6,"Geophyte","commonly"
1576,6,"Herb","commonly"
1576,17,"Geophyte","commonly"
1576,17,"Herb","commonly"
1556,84,"Herb","commonly"
1556,84,"Geophyte","commonly"
1576,35,"Geophyte","commonly"
1576,35,"Herb","commonly"
1554,48,"Herb","commonly"
1554,48,"Geophyte","commonly"
1576,41,"Geophyte","commonly"
1576,41,"Herb","commonly"
1576,51,"Geophyte","commonly"
1576,51,"Herb","commonly"
1603,1,"Geophyte","commonly"
2215,54,"Succulent","commonly"
1603,7,"Geophyte","commonly"
1603,9,"Geophyte","commonly"
1576,34,"Geophyte","commonly"
1576,34,"Herb","commonly"
1551,15,"Herb","commonly"
2207,16,"Herb","commonly"
1549,447,"Geophyte","occasionally"
1549,447,"Herb","commonly"
1549,467,"Geophyte","occasionally"
1549,467,"Herb","commonly"
1549,475,"Geophyte","occasionally"
1549,475,"Herb","commonly"
1549,485,"Geophyte","occasionally"
1549,485,"Herb","commonly"
1556,104,"Herb","commonly"
1556,104,"Geophyte","commonly"
1551,14,"Herb","commonly"
2215,30,"Succulent","commonly"
1551,20,"Herb","commonly"
1554,12,"Geophyte","commonly"
1554,16,"Herb","commonly"
1554,16,"Geophyte","commonly"
1554,30,"Herb","commonly"
1554,30,"Geophyte","commonly"
1906,50,"Shrub","occasionally"
1906,50,"Tree","commonly"
1554,46,"Herb","commonly"
1554,46,"Geophyte","commonly"
1554,47,"Herb","commonly"
1554,47,"Geophyte","commonly"
1551,7,"Herb","commonly"
2207,36,"Herb","commonly"
1603,16,"Geophyte","commonly"
2212,21,"Geophyte","commonly"
2212,21,"Succulent","commonly"
2212,21,"Herb","commonly"
1625,128,"Climber","commonly"
1625,130,"Climber","commonly"
2207,57,"Herb","commonly"
2207,56,"Herb","commonly"
2207,52,"Herb","commonly"
1623,20,"Herb","commonly"
1623,20,"Parasite","commonly"
2207,39,"Herb","commonly"
1623,15,"Herb","commonly"
1623,15,"Parasite","commonly"
2207,32,"Herb","commonly"
2207,25,"Herb","commonly"
2207,24,"Herb","commonly"
2207,21,"Herb","commonly"
2207,20,"Herb","commonly"
2207,19,"Herb","commonly"
2207,18,"Herb","commonly"
2207,40,"Herb","commonly"
1603,40,"Geophyte","commonly"
1603,18,"Geophyte","commonly"
1603,19,"Geophyte","commonly"
2215,22,"Succulent","commonly"
1603,23,"Geophyte","commonly"
1603,28,"Geophyte","commonly"
1603,29,"Geophyte","commonly"
1603,30,"Geophyte","commonly"
1625,66,"Shrub","commonly"
1603,39,"Geophyte","commonly"
1603,42,"Geophyte","commonly"
1603,43,"Herb","commonly"
1603,43,"Geophyte","commonly"
2214,28,"Herb","commonly"
2214,28,"Succulent","commonly"
1603,46,"Geophyte","commonly"
1603,54,"Geophyte","commonly"
1603,55,"Geophyte","commonly"
2212,35,"Succulent","commonly"
2212,35,"Geophyte","commonly"
2212,35,"Herb","commonly"
1603,38,"Geophyte","commonly"
1533,40,"Herb","commonly"
1533,40,"Geophyte","commonly"
1535,78,"Herb","commonly"
1535,78,"Geophyte","commonly"
1533,5,"Herb","commonly"
1533,5,"Geophyte","commonly"
1533,6,"Herb","commonly"
1533,6,"Geophyte","commonly"
1533,10,"Herb","commonly"
1533,10,"Geophyte","commonly"
1533,11,"Herb","commonly"
1533,11,"Geophyte","commonly"
1533,20,"Herb","commonly"
1533,20,"Geophyte","commonly"
1533,25,"Herb","commonly"
1533,25,"Geophyte","commonly"
1516,3,"Shrub","commonly"
1533,37,"Herb","commonly"
1533,37,"Geophyte","commonly"
2493,62,"Herb","commonly"
2493,62,"Cyperoid","commonly"
1533,60,"Herb","commonly"
1533,60,"Geophyte","commonly"
1533,85,"Herb","commonly"
1533,85,"Geophyte","commonly"
1534,12,"Herb","commonly"
1534,12,"Geophyte","commonly"
1534,39,"Herb","commonly"
1534,39,"Geophyte","commonly"
