V's Barcoda,Precis Barcode,Casherb,Casno,Family,Clade,Scientific Name,Taxon,Latitude Decimal,Longitude Decimal,Reference Acc
8002652,NBG0197583-0,,,Asteraceae,Arctotidinae,Arctotis revoluta Jacq. ,ArctoRevol,-32.73756667,19.6728,GPS
8004485,PRE0835255-0,,,Orchidaceae,Coryciinae,Corycium ingeanum E.G.H.Oliv. ,CorycIngea,-31.136752,18.997027,501-2000m
9005133,,NBG,198571,Orchidaceae,Coryciinae,Disperis purpurata Rchb.f. ssp. purpurata   ,DispePurpP,-33.053466,20.713915,GPS
8004698,NBG0160928-0,,,Poaceae,Ehrharta,Ehrharta brevifolia Schrad. var. cuspidata Nees ,EhrhaBrevi,-31.623631,18.467287,<500m
8004703,PRE0694170-0,,,Poaceae,Ehrharta,Ehrharta brevifolia Schrad. var. cuspidata Nees ,EhrhaBrevi,-31.477245,18.709042,501-2000m
8000714,PRE0805070-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.821153,25.647676,501-2000m
8000670,PRE0710745-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.806032,25.680197,501-2000m
8000639,PRE0609057-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.627784,25.531849,<500m
8000510,PRE0023641-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.079893,19.774514,501-2000m
8000217,PRE0671912-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-31.551928,18.318291,<500m
8000202,NBG0161150-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-31.538534,18.722376,<500m
8000222,PRE0681050-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-31.487694,19.467754,501-2000m
8000200,NBG0161026-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-31.147157,18.968637,<500m
8001015,NBG0079350-0,,,Poaceae,Ehrharta,Ehrharta capensis Thunb. ,EhrhaCapen,-33.050734,19.835227,501-2000m
8001148,SAM0067670-0,,,Poaceae,Ehrharta,Ehrharta delicatula (Nees) Stapf ,EhrhaDelic,-31.244688,19.202723,501-2000m
8001289,PRE0474501-0,,,Poaceae,Ehrharta,Ehrharta eburnea Gibbs Russ. ,EhrhaEburn,-31.167502,19.172024,501-2000m
8004859,PRE0021022-0,,,Poaceae,Ehrharta,Ehrharta erecta Lam. var. erecta ,EhrhaErect,-33.838909,25.568575,501-2000m
8004934,PRE0794403-0,,,Poaceae,Ehrharta,Ehrharta erecta Lam. var. natalensis Stapf ,EhrhaErect,-33.806032,25.680197,501-2000m
8004878,PRE0727039-0,,,Poaceae,Ehrharta,Ehrharta erecta Lam. var. erecta ,EhrhaErect,-33.804811,25.680145,501-2000m
8004955,PRE0618881-0,,,Poaceae,Ehrharta,Ehrharta erecta Lam. var. natalensis Stapf ,EhrhaErect,-33.537174,25.327167,501-2000m
8001409,PRE0787701-0,,,Poaceae,Ehrharta,Ehrharta longiflora Sm. ,EhrhaLongf,-33.03276,19.883628,501-2000m
8001345,NBG0161547-0,,,Poaceae,Ehrharta,Ehrharta longiflora Sm. ,EhrhaLongf,-32.102291,19.368133,501-2000m
8001319,PRE0019326-0,,,Poaceae,Ehrharta,Ehrharta longiflora Sm. ,EhrhaLongf,-31.468458,18.704228,501-2000m
8001322,SAM0067668-0,,,Poaceae,Ehrharta,Ehrharta longiflora Sm. ,EhrhaLongf,-31.244755,19.20274,<500m
8001470,PRE0712255-0,,,Poaceae,Ehrharta,Ehrharta longifolia Schrad. ,EhrhaLongi,-32.102291,19.368133,501-2000m
8001546,PRE0681049-0,,,Poaceae,Ehrharta,Ehrharta melicoides Thunb. ,EhrhaMelic,-31.487694,19.467754,501-2000m
8001795,SAM0067669-0,,,Poaceae,Ehrharta,Ehrharta triandra Nees ex Trin. ,EhrhaTrian,-31.244688,19.202723,<500m
8005568,PRE0022272-0,,,Poaceae,Ehrharta,Ehrharta villosa J.H.Schult. var. maxima Stapf ,EhrhaVillo,-33.865489,25.631779,501-2000m
8005545,NBG0161781-0,,,Poaceae,Ehrharta,Ehrharta villosa J.H.Schult. var. maxima Stapf ,EhrhaVillo,-33.864684,25.62514,501-2000m
9005943,PRE0609063,PRE,0609063,Poaceae,Tribolium,Karroochloa curva,KarroCurva,-33.627784,25.531849,<500m
9001550,NBG0198490-0,NBG,198490,Proteaceae,Leucadendron,Leucadendron nobile I.Williams ,LeucaNobil,-33.295666,24.043389,GPS
9001552,PRE0371592-0,PRE,371592,Proteaceae,Leucadendron,Leucadendron nobile I.Williams ,LeucaNobil,-33.235055,23.45971,501-2000m
9001555,PRE0810889-0,PRE,810889,Proteaceae,Leucadendron,Leucadendron nobile I.Williams ,LeucaNobil,-33.08565,23.687302,<500m
9001781,PRE0367475-0,PRE,367475,Proteaceae,Leucadendron,Leucadendron rubrum Burm.f. ,LeucaRubru,-33.235055,23.45971,501-2000m
9002449,PRE0370318-0,PRE,370318,Proteaceae,Leucadendron,Leucadendron strobilinum (L.) Druce ,LeucaStrob,-33.023255,19.985636,<500m
9002596,PRE0654150-0,PRE,654150,Proteaceae,Leucadendron,Leucadendron uliginosum R.Br. subsp. glabratum I.Williams ,LeucaUligG,-33.322686,24.312059,501-2000m
9002593,NBG0198433-0,NBG,198433,Proteaceae,Leucadendron,Leucadendron uliginosum R.Br. ,LeucaUligY,-33.295611,24.043056,GPS
8014846,,BOL,,Poaceae,Pentameris,Pentaschistis airoides ssp airoid,PentaAiroA,-33.8333,25.5667,B.Galley
8014810,,,,Poaceae,Pentameris,Pentaschistis airoides ssp airoid,PentaAiroA,-32.5167,19.5667,B.Galley
8014930,,GRA,,Poaceae,Pentameris,Pentaschistis ampla,PentaAmpla,-33.8333,25.5667,B.Galley
8015048,,NBG,,Poaceae,Pentameris,Pentaschistis aristifolia,PentaArfol,-31.4667,19.4000,B.Galley
8015443,,GRA,,Poaceae,Pentameris,Pentaschistis curvifolia,PentaCurvi,-33.8333,25.5667,B.Galley
8015653,,ZH,,Poaceae,Pentameris,Pentaschistis eriostoma,PentaErios,-33.2100,22.3000,B.Galley
8015710,,GALLEY,,Poaceae,Pentameris,Pentaschistis glandulosa,PentaGland,-33.3828,24.4503,A.Galley
8016599,,PRE,,Poaceae,Pentameris,Pentaschistis tomentella,PentaTomen,-32.0333,19.7000,B.Galley
8014606,,ZH,,Poaceae,Pentameris,Pentameris glacialis,PentmGlaci,-33.2100,22.3000,B.Galley
8014700,,GALLEY,,Poaceae,Pentameris,Pentameris macrocalycina,PentmMacro,-33.3623,24.5022,A.Galley
8010979,PRE-372653,,,Proteaceae,Protea,Protea lorifolia (Salisb. ex Knight) Fourc.  ,ProteLorif,-33.23487,23.461398,501-2000m
8014111,NBG-231602,,,Proteaceae,Protea,Protea lorifolia (Salisb. ex Knight) Fourc.  ,ProteLorif,-33.099887,23.196095,501-2000m
8014101,NBG-147351,,,Proteaceae,Protea,Protea lorifolia (Salisb. ex Knight) Fourc.  ,ProteLorif,-33.08565,23.687302,<500m
8012844,PRE-825266,,,Proteaceae,Protea,Protea lorifolia (Salisb. ex Knight) Fourc.  ,ProteLorif,-33.062449,23.717902,501-2000m
8011543,PRE-376054,,,Proteaceae,Protea,Protea punctata Meisn.  ,ProtePunct,-33.235385,23.459636,501-2000m
8012780,PRE-824245,,,Proteaceae,Protea,Protea punctata Meisn.  ,ProtePunct,-33.062449,23.717902,501-2000m
8019549,NBG-233578,NBG,233578,Restionaceae,Restio,Rhodocoma capensis Steud.,RhodoCapen,-33.10143,23.183324,501-2000m
8019573,PRE-63541,PRE,63541,Restionaceae,Restio,Rhodocoma capensis Steud.,RhodoCapen,-33.101258,23.184099,501-2000m
8019624,NBG-233684,NBG,233684,Restionaceae,Restio,Rhodocoma fruticosa (Thunb.) H.P.Linder,RhodoFruti,-33.235055,23.45971,501-2000m
8019713,PRE-64936,PRE,64936,Restionaceae,Restio,Rhodocoma fruticosa (Thunb.) H.P.Linder,RhodoFruti,-33.1007,23.190694,501-2000m
8019711,PRE-64933,PRE,64933,Restionaceae,Restio,Rhodocoma fruticosa (Thunb.) H.P.Linder,RhodoFruti,-33.100384,23.191235,501-2000m
8019296,PRE-711496,PRE,711496,Restionaceae,Restio,Rhodocoma fruticosa (Thunb.) H.P.Linder,RhodoFruti,-33.08565,23.687302,<500m
9002852,NBG0056945-0,NBG,56945,Orchidaceae,Satyrium,Satyrium acuminatum Lindl. ,SatyrAcumi,-33.525378,25.332359,501-2000m
9003597,NBG0181235-0,NBG,181235,Orchidaceae,Satyrium,Satyrium hallackii Bolus subsp. ocellatum (Bolus) A.V.Hall ,SatyrHallO,-33.057118,21.617659,501-2000m
9003943,PRE0557513-0,PRE,557513,Orchidaceae,Satyrium,Satyrium longicolle Lindl. ,SatyrLclle,-33.840363,25.566934,501-2000m
9004302,NBG0056898-0,NBG,56898,Orchidaceae,Satyrium,Satyrium pygmaeum Sond. ,SatyrPygma,-33.525378,25.332359,501-2000m
9006913,PRE0021433,PRE,0021433,Poaceae,Tribolium,Schismus inermis,SchisInerm,-33.812513,25.626396,501-2000m
9009085,,NBG,190751,Asteraceae,Stoebe,Stoebe fusca (L.) Thunb.,StoebFusca,-32.5,19.54,
9009553,,NBG,,Asteraceae,Stoebe,Stoebe spiralis Less.,StoebSpira,-33.21,21.5,
8007973,PRE0075509-0,,,Restionaceae,Restio,Thamnochortus rigidus Esterh. ,ThamnRigid,-33.1007,23.190694,501-2000m
8008003,PRE0711497-0,,,Restionaceae,Restio,Thamnochortus rigidus Esterh. ,ThamnRigid,-33.08565,23.687302,<500m
9007096,PRE0019099,PRE,0019099,Poaceae,Tribolium,Tribolium compositum,TriboCompo,-33.187805,20.583857,501-2000m
9007237,PRE0019021,PRE,0019021,Poaceae,Tribolium,Tribolium echinatum,TriboEchin,-31.5366,18.564907,501-2000m
9007511,GRA,GRA,,Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.840363,25.566934,501-2000m
9007491,BOL,BOL,,Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.839813,25.565679,501-2000m
9007581,PRE0019189,PRE,0019189,Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.812513,25.626396,501-2000m
9007579,GRA,GRA,,Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.812423,25.625829,501-2000m
9007494,PRE0463927,PRE,0463927,Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.798807,25.688643,501-2000m
9007753,PRE0463937,PRE,0463937,Poaceae,Tribolium,Tribolium obtusifolium,TriboObtus,-33.798807,25.688643,501-2000m
9008036,GRA,GRA,,Poaceae,Tribolium,Tribolium uniolae,TriboUniol,-33.840363,25.566934,501-2000m
9008025,PRE0463963,PRE,0463963,Poaceae,Tribolium,Tribolium uniolae,TriboUniol,-33.798807,25.688643,501-2000m
9007804,PRE0609058,PRE,0609058,Poaceae,Tribolium,Tribolium uniolae,TriboUniol,-33.627784,25.531849,<500m
9007955,PRE0357860,PRE,0357860,Poaceae,Tribolium,Tribolium uniolae,TriboUniol,-32.935429,19.726085,501-2000m
9008174,STE,STE,,Poaceae,Tribolium,Tribolium utriculosum,TriboUtric,-31.433115,18.693483,501-2000m
9008175,118553,Bolus,,Asteraceae,Stoebe,Amphiglossa callunoides D.C.,AmphiCallu,-33.76,25.4,
9008176,,NBG,,Asteraceae,Stoebe,Amphiglossa callunoides D.C.,AmphiCallu,-33.73,25.32,
9008179,111042,Bolus,,Asteraceae,Stoebe,Amphiglossa callunoides D.C.,AmphiCallu,-33.65,25.12,
9008183,,NBG,159757,Asteraceae,Stoebe,Amphiglossa grisea Koekemoer,AmphiGrise,-32.14,18.97,
9008184,NBG0159743-0,NBG,159743,Asteraceae,Stoebe,Amphiglossa grisea Koekemoer,AmphiGrise,-31.91,18.71,
9008185,800,Bolus,,Asteraceae,Stoebe,Amphiglossa perotrichoides D.C.,AmphiPerot,-32.53,19.27,
9008188,111043,Bolus,,Asteraceae,Stoebe,Amphiglossa susannae Koekemoer,AmphiSusan,-32.81,19.58,
9008189,*BOL138992*,Bolus,,Asteraceae,Stoebe,Amphiglossa susannae Koekemoer,AmphiSusan,-32.7,19.57,B
9008208,814,Bolus,,Asteraceae,Stoebe,Amphiglossa tomentosa (Thunb.) Harv.,AmphiTomen,-33.86,22.05,
9008209,803,Bolus,,Asteraceae,Stoebe,Amphiglossa tomentosa (Thunb.) Harv.,AmphiTomen,-33.74,19.4,
9008211,806,Bolus,11994,Asteraceae,Stoebe,Amphiglossa tomentosa (Thunb.) Harv.,AmphiTomen,-33.48,19.67,
9008213,808,Bolus,,Asteraceae,Stoebe,Amphiglossa tomentosa (Thunb.) Harv.,AmphiTomen,-33.25,20.28,
9008196,,NBG,,Asteraceae,Stoebe,Amphiglossa tomentosa (Thunb.) Harv.,AmphiTomen,-32.28,19.13,
9008197,,NBG,759761,Asteraceae,Stoebe,Amphiglossa tomentosa (Thunb.) Harv.,AmphiTomen,-31.8,18.92,
9008214,805,Bolus,,Asteraceae,Stoebe,Amphiglossa tomentosa (Thunb.) Harv.,AmphiTomen,-31.78,18.63,
9008198,NBG0198511-0,NBG,,Asteraceae,Stoebe,Amphiglossa tomentosa (Thunb.) Harv.,AmphiTomen,-31.44,19.15,
8002163,PRE0704790-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.600364,20.291633,501-2000m
8002085,PRE0705113-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.429904,20.66372,501-2000m
8002107,PRE0628746-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.421157,19.646133,501-2000m
8002073,PRE0602864-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.362675,21.426876,<500m
8002080,PRE0228400-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.358165,18.959345,501-2000m
8002074,PRE0614299-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.349245,21.870034,501-2000m
8002079,PRE0228402-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.279446,18.994395,501-2000m
8002108,PRE0228487-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.22472,19.441464,<500m
8002133,PRE0228494-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.208828,21.583537,501-2000m
8002097,PRE0228506-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.197878,19.154001,501-2000m
8002072,PRE0602858-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.172787,21.370152,501-2000m
8002134,PRE0228405-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.100174,21.068076,501-2000m
8002151,PRE0228499-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.095341,18.853095,501-2000m
8002147,NBG0169204-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.052076,18.87146,501-2000m
8002061,PRE0228527-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.009018,20.645705,501-2000m
8002093,PRE0228518-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.979078,21.249501,501-2000m
8002094,PRE0228491-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.971757,21.231195,501-2000m
8002135,PRE0228490-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.961845,18.416108,501-2000m
8002066,PRE0228523-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.957029,18.3956,501-2000m
8002111,NBG0033865-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.953889,21.224695,501-2000m
8002116,PRE0228492-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.953394,18.391064,501-2000m
8002075,PRE0228528-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.943111,21.225951,501-2000m
8002127,PRE0228515-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.923326,20.029484,501-2000m
8002130,PRE0724516-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.874561,20.805157,501-2000m
8002090,NBG0168931-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.87346,22.370971,501-2000m
8002089,PRE0228507-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.835764,23.847686,501-2000m
8002159,PRE0236059-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.735599,24.706364,<500m
8002161,PRE0814283-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.566203,19.255736,501-2000m
8002158,NBG0193279-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.285527,19.148131,501-2000m
8002114,PRE0228505-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.22149,19.32325,501-2000m
8002110,NBG0033743-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.13694,19.338721,501-2000m
8002098,PRE0469545-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.091188,18.034392,501-2000m
8002113,PRE0787172-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.864983,19.59405,501-2000m
8002155,PRE0228392-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.854335,18.736916,501-2000m
8002067,NBG0033693-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.843007,18.782105,<500m
8002128,PRE0228401-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.815723,19.243886,501-2000m
8002105,PRE0710568-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.709495,19.096917,501-2000m
8002106,NBG0193286-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.705521,19.099417,501-2000m
8002153,PRE0725521-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.631712,19.163017,501-2000m
8002139,NBG0196640-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.53888889,19.26666667,GPS
8002165,PRE0525984-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-32.183985,18.876128,501-2000m
8002068,NBG0033685-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.572877,19.209961,501-2000m
8002143,NBG0168932-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.50624,19.080282,501-2000m
8002129,PRE0228403-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.417926,19.123851,501-2000m
8002138,PRE0706795-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.398622,19.140539,<500m
8002166,PRE0525987-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.371675,19.08012,501-2000m
8002069,NBG0052176-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.360569,19.142853,501-2000m
8002152,NBG0193280-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-31.35,19.13333333,501-2000m
8002170,PRE0602874-0,,,Asteraceae,Arctotidinae,Arctotis adpressa DC. ,ArctoAdpre,-34.364422,21.453708,501-2000m
8002180,PRE0604411-0,,,Asteraceae,Arctotidinae,Arctotis adpressa DC. ,ArctoAdpre,-34.097481,18.504725,<500m
8002174,NBG0199525-0,,,Asteraceae,Arctotidinae,Arctotis adpressa DC. ,ArctoAdpre,-33.536766,19.617446,501-2000m
8002172,PRE0229906-0,,,Asteraceae,Arctotidinae,Arctotis adpressa DC. ,ArctoAdpre,-32.504653,19.259117,501-2000m
8002177,NBG0168929-0,,,Asteraceae,Arctotidinae,Arctotis adpressa DC. ,ArctoAdpre,-32.416108,19.09042,501-2000m
8002176,NBG0168928-0,,,Asteraceae,Arctotidinae,Arctotis adpressa DC. ,ArctoAdpre,-32.273197,19.089368,<500m
8002188,PRE0663189-0,,,Asteraceae,Arctotidinae,Arctotis aenea Jacq. ,ArctoAenea,-34.732387,19.913868,501-2000m
8002185,PRE0229839-0,,,Asteraceae,Arctotidinae,Arctotis aenea Jacq. ,ArctoAenea,-33.915701,19.030594,501-2000m
8002189,NBG0197166-0,,,Asteraceae,Arctotidinae,Arctotis aenea Jacq. ,ArctoAenea,-33.627016,24.115123,501-2000m
8002186,PRE0810371-0,,,Asteraceae,Arctotidinae,Arctotis aenea Jacq. ,ArctoAenea,-33.57726,20.903444,501-2000m
8002190,NBG0037182-0,,,Asteraceae,Arctotidinae,Arctotis aenea Jacq. ,ArctoAenea,-32.846252,18.570101,<500m
8002191,NBG0211225-0,,,Asteraceae,Arctotidinae,Arctotis aenea Jacq. ,ArctoAenea,-31.782891,18.677309,501-2000m
8002244,PRE0229727-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.648712,19.560211,501-2000m
8002225,PRE0744589-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.401203,19.272319,501-2000m
8002216,PRE0229720-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.34167,18.99667,501-2000m
8002214,PRE0631694-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.327322,19.086892,501-2000m
8002194,PRE0229716-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.315029,18.449747,<500m
8002210,NBG0033750-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.25,18.38333333,501-2000m
8002234,118527,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.119262,18.446824,501-2000m
8002196,PRE0229721-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-34.035179,19.409726,501-2000m
8002203,PRE0229724-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.999338,18.959369,<500m
8002201,PRE0229714-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.99504,18.473474,501-2000m
8002224,118528,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.94722,18.49306,501-2000m
8002245,PRE0229722-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.935454,18.924035,<500m
8002243,PRE0229719-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.907838,18.600699,501-2000m
8002231,PRE0807527-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.826443,19.036641,501-2000m
8002215,PRE0229729-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.82472,24.26222,501-2000m
8002230,NBG0211220-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.816546,19.020975,501-2000m
8002228,PRE0229728-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.815946,19.061241,<500m
8002239,NBG0211224-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.81407,19.064525,501-2000m
8002233,PRE0546958-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.811455,19.06279,501-2000m
8002227,NBG0211222-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.809459,19.067378,<500m
8002242,PRE0359586-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.807165,19.060029,501-2000m
8002232,NBG0193274-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.806732,19.065605,<500m
8002241,NBG0168930-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.806307,19.063269,<500m
8002211,NBG0033849-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-33.512578,18.475283,501-2000m
8002226,PRE0229725-0,,,Asteraceae,Arctotidinae,Arctotis angustifolia L. ,ArctoAngus,-32.812703,19.213772,501-2000m
8002279,NBG0169066-0,,,Asteraceae,Arctotidinae,Arctotis arctotoides (L.f.) O.Hoffm. ,ArctoArcto,-34.044779,24.920661,501-2000m
8002317,PRE0213650-0,,,Asteraceae,Arctotidinae,Arctotis arctotoides (L.f.) O.Hoffm. ,ArctoArcto,-33.80767,19.899983,501-2000m
