Lineage,Geology,FRI,Max_NDVI,Rainfall,Seasonality,Max_temp,Min_temp,TAXON,Fire_response,Growth_form
RESTIONACEAE,0,71.7857,6.1242,3.9493,15.886,0,2.2548,HypodNeesi,B,Graminoid
RESTIONACEAE,30.0928,43.549,0.3903,25.9679,0,0,0,HypodLaevi,A,Graminoid
RESTIONACEAE,9.3358,8.1854,36.8702,11.0052,0.0415,0.1575,34.4045,IschyMonan,B,Graminoid
RESTIONACEAE,0.0554,1.0625,64.9465,1.3594,1.9998,16.6578,13.9186,IschyVirge,A,Graminoid
RESTIONACEAE,13.7093,7.5207,55.3542,6.3078,2.0161,14.5578,0.534,IschyOcrea,B,Graminoid
RESTIONACEAE,0.6171,2.4596,35.5505,6.5455,0.8933,31.5355,22.3986,IschyUnisp,A,Graminoid
RESTIONACEAE,1.956,0.0869,20.6191,64.9897,3.0637,8.9252,0.3594,RestiVersa,B,Graminoid
RESTIONACEAE,0.0269,1.0709,1.956,95.2117,0.5268,1.2054,0.0023,RestiDispa,A,Graminoid
RESTIONACEAE,0.3256,3.1783,1.6981,94.2601,0.2604,0.0292,0.2482,RestiBifar,B,Graminoid
RESTIONACEAE,1.7233,6.8387,6.413,84.7652,0.0755,0.0025,0.1817,RestiEgreg,A,Graminoid
POACEAE,1.2544,0,7.308,29.3861,0,52.0212,10.0304,EhrhaBulbo,A,Graminoid
POACEAE,0,24.7718,0,0.0423,0,2.447,72.7388,EhrhaRupes,B,Graminoid
RESTIONACEAE,21.9392,7.8926,3.4561,11.5448,46.4516,0.1057,8.6099,RestiStoko,B,Graminoid
RESTIONACEAE,0.0031,30.5038,1.189,0.0355,9.3475,19.3261,39.5949,RestiFragi,A,Graminoid
RESTIONACEAE,0.4115,3.0691,0.4435,92.13,3.3527,0,0.5932,RestiPurpu,B,Graminoid
RESTIONACEAE,11.1936,3.2343,0.0492,14.6448,0.676,28.9073,41.295,RestiIncon,A,Graminoid
RESTIONACEAE,0.1154,10.6085,0.4238,88.8362,0.0141,0.0012,0.0008,RestiDebil,B,Graminoid
RESTIONACEAE,6.9494,8.099,0,72.8288,2.2872,9.1288,0.7069,RestiPerpl,A,Graminoid
RESTIONACEAE,0.0484,30.4659,31.9772,36.2389,0,0.4085,0.861,RestiSimil,B,Graminoid
RESTIONACEAE,35.8539,36.9167,1.6549,1.9726,10.2066,7.9537,5.4416,RestiTriti,A,Graminoid
RESTIONACEAE,12.5797,6.8867,17.5577,30.8817,1.2876,7.6835,23.1229,StabeCernu,B,Graminoid
RESTIONACEAE,46.8752,0.8986,9.423,0.4865,28.4313,13.8855,0,StabeDista,A,Graminoid
RESTIONACEAE,0.7904,7.7716,52.9844,4.7781,0.6459,12.9245,20.1051,ThamnPlaty,B,Graminoid
RESTIONACEAE,13.6603,0.0832,28.6185,26.8296,20.9071,9.9013,0,ThamnFruti,A,Graminoid
RESTIONACEAE,16.9825,13.5973,0.2053,20.8889,29.2354,4.6689,14.4218,WilldGlome,B,Graminoid
RESTIONACEAE,1.5256,17.9215,8.1488,17.4805,6.6826,19.6146,28.6263,WilldAresc,A,Graminoid
POACEAE,0.0625,9.0872,22.3785,10.9045,34.4711,19.4129,3.6834,EhrhaCapen,A,Graminoid
POACEAE,0.0883,0.114,0.3206,97.9934,0.2333,0.2465,1.0038,EhrhaRehma,B,Graminoid
POACEAE,0,64.6702,0,31.2977,0.1247,3.756,0.1514,EragrObtus,B,Graminoid
POACEAE,3.1765,86.8423,0.3802,3.6907,0.6114,2.8993,2.3996,EragrCapen,A,Graminoid
POACEAE,0.7092,9.6389,2.8071,69.0362,4.1185,3.7425,9.9476,PentaCurvi,B,Graminoid
POACEAE,22.867,9.9077,1.3056,14.0564,0.2595,14.7159,36.8878,PentaColor,A,Graminoid
POACEAE,18.4332,29.1417,4.991,20.9267,1.3418,9.3702,15.7955,PentaPalli,B,Graminoid
POACEAE,6.3875,10.3679,28.0477,2.4943,5.3745,6.3832,40.9448,PentaErios,A,Graminoid
POACEAE,0.9942,1.4535,0.0632,40.4105,56.2566,0.822,0,PentaAmpla,B,Graminoid
POACEAE,1.4306,0.0285,19.1525,2.2748,0.0005,46.8254,30.2877,PentaVisci,A,Graminoid
RESTIONACEAE,0.6831,0.615,5.1855,93.0767,0.0363,0.2419,0.1614,CalopAsper,B,Graminoid
RESTIONACEAE,0.7801,1.0031,11.574,82.6317,2.6394,0.247,1.1248,CalopHyali,A,Graminoid
RESTIONACEAE,7.0521,4.2688,10.9404,3.642,17.2025,47.7685,9.1255,CalopMonos,B,Graminoid
RESTIONACEAE,13.2178,12.0911,0.6283,41.2802,22.3415,3.1275,7.3135,CalopPanic,A,Graminoid
RESTIONACEAE,2.554,8.3177,10.9385,70.0537,3.6166,2.2068,2.3127,ElegiFilac,B,Graminoid
RESTIONACEAE,8.521,10.342,2.6943,16.26,2.9964,17.2641,41.9221,ElegiJunce,A,Graminoid
